               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061918,            0.020223,            0.054655,             0.38789,             0.80032,             0.51311,             0.36891,            0.014724,           0.0040122,            0.026415,           0.0033062,           0.0033062,            0.070244
                   1,            0.044257,             0.01387,            0.034864,             0.47594,            0.086905,            0.078611,            0.025502,            0.041491,           0.0087183,            0.030222,           0.0064205,           0.0064205,            0.040025
                   2,            0.043136,            0.013057,            0.021568,            0.079808,               0.275,            0.065594,             0.01766,            0.043057,           0.0073878,            0.052698,           0.0093147,           0.0093147,           0.0095857
                   3,            0.038737,            0.012508,            0.017573,             0.93318,             0.92474,             0.95698,             0.69958,            0.013495,           0.0038632,           0.0041505,             0.00901,             0.00901,             0.00901
                   4,            0.033531,            0.011964,            0.015961,             0.11573,              0.3333,            0.097986,            0.031921,            0.039141,           0.0069239,            0.025575,             0.00901,             0.00901,             0.00901
                   5,            0.030487,            0.012058,            0.019089,             0.63145,             0.78166,             0.80415,             0.63074,            0.012563,           0.0055093,            0.018224,             0.00868,             0.00868,             0.00868
                   6,            0.029022,            0.011274,            0.012447,             0.83331,              0.6788,             0.80166,             0.61588,            0.012152,           0.0040344,            0.015779,             0.00835,             0.00835,             0.00835
                   7,            0.027774,            0.010533,            0.010075,             0.94472,             0.84476,             0.88045,             0.75785,           0.0090464,           0.0024466,            0.011017,             0.00802,             0.00802,             0.00802
                   8,            0.025722,            0.010297,           0.0084605,             0.79473,             0.93175,             0.96662,             0.85307,           0.0076562,           0.0023256,            0.012493,             0.00769,             0.00769,             0.00769
                   9,            0.024322,           0.0098513,            0.007011,             0.98904,             0.99227,             0.99321,             0.89227,           0.0070619,           0.0020842,           0.0016458,             0.00736,             0.00736,             0.00736
                  10,            0.024186,           0.0095654,           0.0073119,             0.70163,             0.47311,             0.51306,             0.36345,            0.017247,           0.0072072,            0.025385,             0.00703,             0.00703,             0.00703
                  11,            0.023606,           0.0097751,           0.0078711,              0.9406,             0.96706,             0.98219,             0.81712,           0.0088593,           0.0030073,           0.0020003,              0.0067,              0.0067,              0.0067
                  12,             0.02269,           0.0096922,           0.0069581,              0.9715,             0.91958,             0.98415,             0.86315,           0.0069845,           0.0022571,             0.00465,             0.00637,             0.00637,             0.00637
                  13,            0.021575,           0.0090448,           0.0059827,             0.98144,             0.99292,             0.99363,             0.89534,           0.0065252,           0.0019248,           0.0013045,             0.00604,             0.00604,             0.00604
                  14,             0.02062,           0.0088224,           0.0042997,              0.9948,             0.99683,             0.99389,             0.90726,           0.0056692,            0.001831,          0.00077941,             0.00571,             0.00571,             0.00571
                  15,            0.020445,           0.0088991,           0.0060929,             0.98628,             0.98765,             0.99172,             0.90909,           0.0057211,           0.0019061,           0.0014225,             0.00538,             0.00538,             0.00538
                  16,            0.020595,           0.0087951,           0.0050188,             0.99697,             0.99356,             0.99396,             0.91095,           0.0060208,            0.001755,          0.00076264,             0.00505,             0.00505,             0.00505
                  17,            0.019587,           0.0087468,           0.0050254,             0.75494,             0.54968,             0.65446,             0.49066,             0.01205,           0.0047902,            0.028342,             0.00472,             0.00472,             0.00472
                  18,            0.019033,           0.0084813,           0.0040694,              0.9974,             0.99667,             0.99328,             0.90866,           0.0057916,           0.0017612,          0.00091989,             0.00439,             0.00439,             0.00439
                  19,            0.018108,           0.0084865,           0.0043414,             0.99174,             0.99324,             0.99462,             0.89933,           0.0062737,           0.0017306,          0.00075065,             0.00406,             0.00406,             0.00406
                  20,            0.017703,           0.0082398,           0.0033826,             0.99826,             0.99424,             0.99463,             0.91693,           0.0053162,           0.0017104,          0.00073337,             0.00373,             0.00373,             0.00373
                  21,            0.017314,           0.0081838,           0.0034921,             0.99749,              0.9947,             0.99421,             0.90615,           0.0058543,           0.0018357,          0.00058343,              0.0034,              0.0034,              0.0034
                  22,            0.017375,           0.0080837,           0.0040035,             0.87232,             0.87403,             0.91904,             0.84015,           0.0053618,           0.0020329,           0.0085425,             0.00307,             0.00307,             0.00307
                  23,             0.01678,           0.0079654,           0.0041799,              0.9968,             0.99706,             0.99411,             0.92221,           0.0051508,           0.0016168,          0.00057268,             0.00274,             0.00274,             0.00274
                  24,            0.016499,           0.0079105,           0.0036818,             0.99634,             0.99652,              0.9939,             0.92377,           0.0049808,           0.0016161,          0.00055557,             0.00241,             0.00241,             0.00241
                  25,            0.015894,           0.0079999,           0.0029883,             0.99734,             0.99762,             0.99471,              0.9249,            0.004981,           0.0015768,          0.00046186,             0.00208,             0.00208,             0.00208
                  26,            0.015429,           0.0077046,           0.0030942,             0.99714,              0.9971,             0.99388,             0.92724,           0.0049539,           0.0015639,           0.0004823,             0.00175,             0.00175,             0.00175
                  27,            0.015245,           0.0076017,           0.0029689,             0.99688,             0.99483,             0.99371,             0.92367,           0.0051143,           0.0016364,          0.00056248,             0.00142,             0.00142,             0.00142
                  28,            0.014575,           0.0075657,           0.0021353,             0.99686,             0.99711,             0.99376,             0.92999,           0.0045798,           0.0015254,          0.00048908,             0.00109,             0.00109,             0.00109
                  29,            0.014506,           0.0074244,           0.0026545,             0.99704,             0.99762,             0.99378,             0.93275,           0.0045545,           0.0015066,          0.00042304,             0.00076,             0.00076,             0.00076
